support,max_intertime,median_intratime,median_period_occurences,num_periods,X,Y
483.0,10.0,6.0,1.0,273,24852,24852
479.0,7.0,4.0,1.0,302,13176,13176
255.0,13.0,7.0,1.0,151,12341,12341
230.0,13.0,7.0,1.0,141,21903,21903
225.0,10.0,7.0,1.0,136,16797,16797
186.0,10.0,5.0,1.0,116,21137,21137
167.0,7.0,5.0,1.0,107,47209,47209
158.0,13.0,7.0,1.0,94,5077,5077
147.0,7.0,2.5,1.0,94,6184,6184
137.0,7.0,4.0,1.0,78,47766,47766
135.0,13.0,8.0,1.0,72,8571,8571
114.0,13.0,6.0,1.0,70,39275,39275
113.0,13.0,7.0,1.0,61,28204,28204
108.0,10.0,7.0,1.0,63,43352,43352
107.0,16.5,9.0,1.0,67,26209,26209
107.0,19.0,11.0,1.0,66,24964,24964
101.0,16.5,10.5,1.0,56,30827,30827
98.0,16.5,7.0,1.0,65,47626,47626
93.0,16.5,8.0,1.0,66,21903,13176
93.0,16.5,11.0,1.0,59,16953,16953
93.0,10.0,4.0,1.0,63,21195,21195
92.0,19.0,7.0,1.0,63,13176,21903
91.0,10.0,7.0,1.0,57,12341,16797
91.0,10.0,6.0,1.0,60,22935,22935
90.0,10.0,7.0,1.0,52,16797,12341
86.0,13.0,8.0,1.0,53,41950,41950
85.0,7.0,4.0,1.0,46,27521,27521
83.0,13.0,6.0,1.0,57,24852,5077
82.0,10.0,4.0,1.0,51,13176,47209
81.0,10.0,5.0,1.0,55,47209,13176
81.0,16.5,7.0,1.0,50,5077,24852
79.0,13.0,5.0,1.0,56,21137,13176
76.0,10.0,7.0,1.0,43,12341,16797 12341
76.0,16.5,9.0,1.0,50,45007,45007
74.0,7.0,6.0,1.0,50,16797 12341,12341
72.0,10.0,7.0,1.0,43,12341,6184
71.0,7.0,6.0,1.0,47,16797 12341,16797
71.0,10.0,4.0,1.0,47,21137,24852
71.0,19.0,9.5,1.0,46,44359,44359
71.0,16.5,10.0,1.0,47,38768,38768
71.0,7.0,6.0,1.0,46,16797,16797 12341
70.0,7.0,4.0,1.0,39,27966,27966
70.0,19.0,12.0,1.0,50,31717,31717
70.0,7.0,3.5,1.0,46,26604,26604
69.0,16.5,5.0,1.0,51,13176,21137
68.0,10.0,4.0,1.0,44,24852,21137
68.0,13.0,8.0,1.0,45,30450,30450
66.0,7.0,6.0,1.0,42,16797 12341,16797 12341
66.0,13.0,8.0,1.0,39,8048,8048
66.0,7.0,6.0,1.0,43,43352,12341
65.0,19.0,12.0,1.0,45,5876,5876
65.0,7.0,6.0,1.0,42,6184,12341
65.0,13.0,7.0,1.0,44,27104,27104
64.0,13.0,6.0,1.0,42,24852 5077,24852
64.0,13.0,6.5,1.0,41,24852,24852 5077
64.0,10.0,6.0,1.0,35,39877,39877
63.0,13.0,7.0,1.0,49,24852,47626
63.0,7.0,6.0,1.0,37,12341,43352
61.0,16.5,7.0,1.0,42,24852,28204
60.0,10.0,5.0,1.0,32,24852,27521
60.0,19.0,9.5,1.0,37,33768,33768
60.0,13.0,7.0,1.0,39,5077,24852 5077
60.0,16.5,6.0,1.0,44,39275,13176
60.0,22.0,7.0,1.0,42,47626,24852
59.0,13.0,7.0,1.0,37,24852 5077,5077
59.0,7.0,3.0,1.0,41,21938,21938
58.0,10.0,7.0,1.0,33,18362,18362
58.0,13.0,8.0,1.0,39,4605,4605
58.0,10.0,4.0,1.0,27,27521,24852
57.0,13.0,6.0,1.0,39,5450,5450
57.0,28.0,14.0,1.0,41,44142,44142
56.0,13.0,7.0,1.0,34,24852 5077,24852 5077
56.0,13.0,6.0,1.0,41,44359,13176
56.0,16.5,7.0,1.0,38,28204,24852
56.0,22.0,8.0,1.0,40,12341,13176
56.0,7.0,6.0,1.0,34,16797,6184
56.0,16.5,5.0,1.0,37,13176,39275
55.0,16.5,7.5,1.0,34,39408,39408
55.0,19.0,8.0,1.0,40,13176 21903,13176
54.0,13.0,6.0,1.0,34,13176 47209,13176
54.0,19.0,10.0,1.0,38,29487,29487
54.0,13.0,7.5,1.0,37,8571,12341
54.0,22.0,7.0,1.0,36,13176,13176 21903
54.0,19.0,7.5,1.0,38,13176,12341
54.0,13.0,7.0,1.0,36,21616,21616
53.0,22.0,5.5,1.0,38,21903,24852
53.0,13.0,5.0,1.0,32,13176 47209,47209
53.0,16.5,6.5,1.0,35,47209,21903
53.0,13.0,7.0,1.0,41,24852,26209
53.0,22.0,9.0,1.0,41,24852,16797
53.0,13.0,8.0,1.0,34,37687,37687
53.0,7.0,6.0,1.0,35,6184,16797
53.0,19.0,8.0,1.0,37,27104,13176
52.0,13.0,7.0,1.0,39,21903,13176 21903
52.0,13.0,7.0,1.0,32,13575,13575
52.0,7.0,6.0,1.0,29,43352 12341,12341
52.0,13.0,6.0,1.0,36,47766,24852
51.0,19.0,6.0,1.0,33,21903,47209
51.0,7.0,6.0,1.0,28,43352,43352 12341
51.0,16.5,9.5,1.0,30,12341,8571
51.0,10.0,4.0,1.0,33,47766,21903
51.0,10.0,5.0,1.0,34,13176,13176 47209
51.0,16.5,7.0,1.0,36,13176 21903,21903
50.0,13.0,5.5,1.0,34,8174,8174
50.0,7.0,6.0,1.0,32,4920,4920
50.0,10.0,4.0,1.0,33,24852 21137,24852
50.0,7.0,6.0,2.0,25,12341,43352 12341
50.0,13.0,7.0,1.0,28,35951,35951
50.0,7.0,6.0,1.0,27,43352 12341,43352
50.0,16.5,4.0,1.0,35,13176,24964
49.0,13.0,6.0,1.0,31,47209,13176 47209
49.0,16.5,8.0,1.0,34,24852,24852 28204
49.0,25.0,12.0,1.0,36,32689,32689
49.0,7.0,6.0,1.0,32,43352,6184
49.0,22.0,7.0,1.0,33,24964,13176
49.0,10.0,6.0,1.0,28,24838,24838
49.0,10.0,7.0,1.0,27,30489,30489
49.0,16.5,12.5,1.0,38,20114,20114
49.0,13.0,7.0,1.0,32,19057,19057
49.0,13.0,8.5,1.0,34,42265,42265
48.0,25.0,7.0,1.0,34,24852,21903
48.0,16.5,8.0,1.0,32,24964,22935
48.0,28.0,7.5,1.0,38,28842,28842
48.0,13.0,5.0,1.0,34,13176,44359
47.0,13.0,6.0,1.0,34,24852,47766
47.0,19.0,8.5,1.0,30,24852,41950
47.0,16.5,8.5,1.0,31,30391,30391
47.0,7.0,6.0,1.0,29,43352,16797
47.0,7.0,6.0,1.0,27,6184,43352
47.0,7.0,6.0,1.0,24,43352 12341,43352 12341
47.0,5.0,2.0,1.0,24,28199,28199
46.0,19.0,11.5,1.0,33,17794,17794
46.0,10.0,4.5,1.0,28,24852,24852 21137
46.0,19.0,7.0,1.0,32,13176,27104
46.0,10.0,5.0,1.0,30,8277,8277
45.0,16.5,8.0,1.0,33,41220,41220
45.0,16.5,6.0,1.0,33,26209,24852
45.0,22.0,5.0,1.0,36,24852,13176
45.0,7.0,2.0,1.0,32,27966,13176
45.0,7.0,6.0,1.0,24,16797,43352
45.0,22.0,12.5,1.0,34,16797,24852
45.0,16.5,8.0,1.0,28,24852 28204,24852
45.0,16.5,8.0,1.0,35,39275,21137
45.0,19.0,8.0,1.0,31,5025,5025
44.0,19.0,7.0,1.0,34,21137,39275
44.0,7.0,4.0,1.0,27,21903,47766
44.0,7.0,6.0,1.0,25,16797 12341,6184
44.0,25.0,9.0,1.0,33,5876,47209
44.0,7.0,5.5,1.0,33,24852,24852 47626
44.0,7.0,5.0,1.0,33,24852 47626,24852
44.0,10.0,4.0,1.0,28,24852 21137,21137
44.0,16.5,5.0,1.0,29,42265,13176
44.0,22.0,8.5,1.0,30,22935,24964
44.0,16.5,7.0,1.0,29,41950,24852
43.0,10.0,4.0,1.0,27,21137,24852 21137
43.0,7.0,2.0,1.0,29,21137,27966
43.0,31.0,15.0,1.0,36,21137,21903
43.0,13.0,6.0,1.0,26,13176 47209,13176 47209
43.0,10.0,5.0,1.0,23,24838,24852
43.0,25.0,13.0,1.0,28,21292,21292
43.0,13.0,5.0,1.0,32,13176,13176 21137
43.0,10.0,4.0,1.0,33,13176,27966
43.0,13.0,5.0,1.0,32,13176 21137,13176
42.0,13.0,8.0,1.0,27,8571,8048
42.0,7.0,3.0,1.0,28,10749,10749
42.0,28.0,9.5,1.0,31,47209,5876
42.0,13.0,8.0,1.0,27,8048,8571
42.0,7.0,6.0,1.0,24,43352,16797 43352
42.0,13.0,7.0,1.0,31,24184,24184
42.0,13.0,6.0,1.0,28,26369,26369
42.0,10.0,3.0,1.0,27,26604,13176
