support,max_intertime,median_intratime,median_period_occurences,num_periods,X,Y
49.0,7.0,5.0,1.0,24,7751,7751
45.0,19.0,14.0,1.0,32,16953,16953
41.0,30.0,21.5,1.5,22,21195,21195
24.0,14.0,10.0,1.0,11,30450,30450
23.0,25.0,13.0,1.0,16,31506,31506
19.0,14.0,12.0,1.5,8,33198,33198
17.0,7.0,5.0,1.0,11,13535,13535
12.0,25.0,20.0,1.0,7,49235,49235
4.0,36.25,21.5,1.0,4,651,49235
4.0,36.25,30.0,1.0,4,651,651
4.0,14.0,6.5,2.0,3,32650,32650
4.0,14.0,6.5,2.0,3,32650,31506
4.0,19.0,12.0,2.0,3,31506,32650
3.0,7.0,0.0,1.0,3,196,16953
3.0,30.0,24.0,1.0,3,35898,2078
3.0,46.25,23.0,1.0,3,49235,651
2.0,7.0,0.0,1.5,2,890,13535
2.0,14.0,10.0,1.5,2,21386,21386
2.0,7.0,3.5,1.5,2,13535,890
2.0,19.0,7.5,1.5,2,196,196
2.0,60.0,28.0,1.5,2,21195,651
2.0,36.25,6.0,1.5,2,42768,21195
2.0,36.25,6.0,1.5,2,42768,16953
