support,max_intertime,median_intratime,median_period_occurences,num_periods,X,Y
2240.0,7.0,1.0,1.0,1252,24852,24852
1714.0,9.0,3.0,1.0,983,21903,21903
1505.0,7.0,1.0,1.0,868,26209,26209
1098.0,9.0,2.0,1.0,659,24964,24964
1075.0,10.0,6.0,1.0,663,47766,47766
1074.0,14.0,7.0,1.0,678,47626,47626
952.0,12.0,7.0,1.0,583,13176,13176
909.0,11.0,7.0,1.0,546,47209,47209
833.0,5.0,1.0,1.0,485,17794,17794
818.0,12.0,7.0,1.0,496,45007,45007
792.0,14.0,7.0,1.0,498,4605,4605
789.0,9.0,4.0,1.0,470,28985,28985
782.0,14.0,7.0,1.0,497,22935,22935
731.0,2.0,0.0,1.0,447,26209,24852
729.0,13.0,7.0,1.0,444,31717,31717
711.0,2.0,0.0,1.0,417,24852,26209
670.0,3.0,0.0,1.0,393,21903,24852
661.0,3.0,0.0,1.0,385,24852,21903
660.0,13.0,7.0,1.0,408,27156,27156
656.0,2.0,0.0,1.0,337,42585,42585
645.0,14.0,7.0,1.0,389,42768,42768
626.0,3.0,0.0,1.0,384,21903,26209
618.0,3.0,0.0,1.0,379,26209,21903
589.0,15.0,7.0,1.0,370,8518,8518
580.0,14.0,7.0,1.0,367,20114,20114
578.0,9.0,4.5,1.0,348,21137,21137
574.0,2.0,0.0,1.0,303,24852 26209,24852
569.0,5.0,1.0,1.0,353,24964,26209
566.0,2.0,0.0,1.0,295,24852,24852 26209
564.0,12.0,6.0,1.0,341,44359,44359
557.0,2.0,0.0,1.0,326,31506,31506
548.0,4.0,1.0,1.0,341,26209,24964
544.0,2.0,0.0,1.0,282,26209,24852 26209
539.0,5.0,1.0,1.0,334,24964,21903
535.0,4.0,0.0,1.0,332,21903,24964
534.0,3.0,0.0,1.0,292,24852 21903,24852
533.0,2.0,0.0,1.0,265,24852 26209,26209
529.0,16.0,8.0,1.0,332,27104,27104
528.0,3.0,0.0,1.0,280,24852,24852 21903
518.0,13.0,6.0,1.0,325,28842,28842
517.0,2.0,0.0,1.0,300,24852 21903,21903
506.0,2.0,0.0,1.0,288,21903,24852 21903
503.0,1.0,0.0,1.0,282,24852 26209,24852 26209
500.0,19.0,6.0,1.0,352,26209,47626
500.0,8.0,2.0,1.0,293,34358,34358
495.0,3.0,0.0,1.0,289,17794,26209
486.0,9.0,5.0,1.0,292,30391,30391
485.0,2.0,0.0,1.0,279,17794,24852
485.0,10.0,5.0,1.0,298,21938,21938
479.0,15.0,8.0,1.0,310,49683,49683
479.0,12.0,7.0,1.0,298,34126,34126
473.0,2.0,0.0,1.0,256,24852 21903,24852 21903
472.0,2.0,0.0,1.0,296,26209,17794
470.0,2.0,0.0,1.0,289,17794,21903
466.0,10.0,4.5,1.0,272,21616,21616
464.0,2.0,0.0,1.0,262,24852,17794
463.0,3.0,0.0,1.0,271,21903,17794
461.0,8.0,2.0,1.0,294,47766,24852
460.0,17.0,6.0,1.0,323,24852,47626
459.0,17.0,7.0,1.0,326,47626,26209
458.0,2.0,0.0,1.0,267,31553,31553
457.0,11.0,7.0,1.0,262,12341,12341
456.0,11.0,4.0,1.0,305,47766,26209
455.0,6.0,1.0,1.0,275,28985,24852
454.0,15.0,6.0,1.0,316,47626,24852
450.0,14.0,5.0,1.0,309,26209,31717
447.0,2.0,0.0,1.0,248,24964,24852
443.0,13.0,3.0,1.0,273,46667,46667
442.0,12.0,4.0,1.0,292,47766,21903
440.0,7.0,1.0,1.0,270,28985,21903
437.0,2.0,0.0,1.0,250,24852,24964
436.0,10.0,3.0,1.0,277,26209,47766
435.0,9.0,2.0,1.0,276,24852,47766
431.0,1.0,0.0,1.0,221,24852,42585
431.0,1.0,0.0,1.0,226,42585,24852
426.0,11.0,4.0,1.0,283,21903,47766
425.0,2.0,0.0,1.0,251,21903 26209,21903
422.0,6.0,1.0,1.0,264,28985,26209
417.0,2.0,0.0,1.0,244,21903,21903 26209
416.0,1.0,0.0,1.0,237,42585,26209
414.0,3.0,0.0,1.0,255,24964,17794
412.0,14.0,6.0,1.0,280,31717,26209
411.0,10.0,5.0,1.0,260,10749,10749
411.0,1.0,0.0,1.0,229,26209,42585
410.0,14.0,7.0,1.0,265,24184,24184
406.0,2.0,0.0,1.0,228,26209,21903 26209
404.0,1.0,0.0,1.0,236,24852,31506
403.0,2.0,0.0,1.0,230,21903 26209,26209
401.0,3.0,0.5,1.0,249,17794,24964
398.0,1.0,0.0,1.0,240,31506,24852
396.0,16.0,8.0,1.0,263,890,890
395.0,8.0,3.0,1.0,245,24852 21903 47766,47766
387.0,6.0,1.0,1.0,237,28985,24964
384.0,16.0,6.0,1.0,275,21903,47626
383.0,2.0,0.0,1.0,184,21903,42585
381.0,15.0,7.0,1.0,242,5876,5876
380.0,2.0,0.0,1.0,188,42585,21903
376.0,13.0,6.0,1.0,259,24852,4605
374.0,2.0,0.0,1.0,210,31506,26209
373.0,2.0,0.0,1.0,208,24852 17794,24852
373.0,8.0,4.0,1.0,234,27521,27521
373.0,13.0,7.0,1.0,234,40706,40706
368.0,2.0,0.0,1.0,207,26209,31506
366.0,14.0,7.0,1.0,219,29487,29487
366.0,2.0,0.0,1.0,200,24852,24852 17794
366.0,13.0,6.0,1.0,250,4605,24852
364.0,28.0,8.0,1.0,255,24964,22935
363.0,11.0,3.0,1.0,248,28842,26209
362.0,2.0,0.0,1.0,191,17794,24852 17794
362.0,4.0,1.0,1.0,216,24964,26209 24964
361.0,13.0,6.0,1.0,238,46979,46979
358.0,2.0,0.0,1.0,188,21903 26209,21903 26209
357.0,23.0,8.0,1.0,250,22935,24964
355.0,2.0,0.0,1.0,192,24852 17794,17794
355.0,3.0,0.0,1.0,213,26209 24964,26209
354.0,16.0,6.0,1.0,255,26209,4605
353.0,3.0,1.0,1.0,215,26209 24964,24964
352.0,4.0,1.0,1.0,200,26209,26209 24964
347.0,1.0,0.0,1.0,195,21903,24852 26209
346.0,4.0,1.0,1.0,197,21903,21903 24964
346.0,2.0,0.0,1.0,192,31506,21903
345.0,4.0,1.0,1.0,204,24964,21903 24964
343.0,16.0,6.0,1.0,248,4605,26209
342.0,4.0,1.0,1.0,201,21903 24964,21903
342.0,19.0,7.0,1.0,246,47766,47626
340.0,13.0,4.0,1.0,242,47626,21903
339.0,8.0,2.0,1.0,213,24852,28985
339.0,19.0,6.0,1.0,236,24964,47626
339.0,9.0,6.0,1.0,190,39877,39877
338.0,13.0,5.0,1.0,236,21903,31717
337.0,2.0,0.0,1.0,185,21903,31506
337.0,9.0,2.0,1.0,217,21903,28985
337.0,21.0,7.0,1.0,248,4605,47626
335.0,2.0,0.0,1.0,174,30489,30489
335.0,2.0,0.0,1.0,173,24852 17794,24852 17794
335.0,2.0,0.0,1.0,201,26209,31553
332.0,2.0,0.0,1.0,162,24852 21903,26209
331.0,22.0,8.0,1.0,248,47626,4605
331.0,14.0,3.0,1.0,219,26209,28842
331.0,11.0,2.0,1.0,227,47766,24964
330.0,9.0,2.0,1.0,225,24964,47766
330.0,2.0,0.0,1.0,181,42585,24964
330.0,3.0,1.0,1.0,204,21903 24964,24964
