support,max_intertime,median_intratime,median_period_occurences,num_periods,X,Y
78.0,17.0,7.0,1.0,51,32650,32650
25.0,30.0,8.0,1.0,17,42240,42240
20.0,6.0,4.0,1.0,14,14233,14233
14.0,30.0,15.0,1.5,6,196,196
12.0,30.0,20.0,1.0,3,8859,8859
9.0,11.0,9.0,1.0,7,19488,19488
9.0,11.0,8.0,1.0,6,8021,8021
8.0,6.0,1.5,1.0,8,42240,32650
6.0,6.0,4.0,2.0,3,39581,39581
5.0,11.0,6.0,1.5,4,39581,32650
5.0,47.0,23.0,1.5,4,8859,42240
5.0,45.0,20.0,1.5,4,42240,8859
4.0,20.75,9.0,1.0,4,40199,40199
4.0,6.0,5.0,2.0,3,32650,39581
4.0,6.0,5.0,1.0,4,14233,42240
4.0,6.0,5.0,1.0,3,42240,14233
4.0,20.75,12.0,1.0,4,13176,13176
3.0,45.0,30.0,1.0,3,47977,47977
3.0,45.0,30.0,1.0,3,890,890
3.0,47.0,30.0,1.0,3,12341,8571
3.0,45.0,30.0,1.0,3,8571,12341
3.0,45.0,30.0,1.0,3,8571,8571
2.0,17.0,13.0,1.5,2,47141,47141
2.0,45.0,40.0,1.5,2,11759,11759
