user_id,y,support,occurrences_left
204819,39408,11.0,0.0
204819,5077,25.0,0.0
204819,35221,6.0,0.0
19,21333,13.0,0.0
19,23734,19.0,0.0
204821,42736,12.0,0.0
204821,40709,6.0,0.0
180245,31683,27.0,0.0
81945,8193,11.0,0.0
81945,23909,75.0,0.0
81945,23734,78.0,0.0
81945,41290,31.0,0.0
81945,29487,24.0,0.0
204825,10957,18.0,-2.0
204825,43631,275.0,0.0
73756,21616,5.0,0.0
73756,24852,20.0,0.0
73756,40709,3.0,0.0
73756,39581,44.0,0.0
73756,27966,10.0,0.0
31,40709,6.0,0.0
31,16696,94.0,0.0
31,35914,7.0,0.0
31,44987,25.0,0.0
31,6187,12.0,0.0
31,27086,23.0,0.0
81957,42240,17.0,0.0
147492,42736,7.0,0.0
81966,24852,24.0,0.0
81966,23909,24.0,0.0
81966,28199,42.0,0.0
81966,43631,4.0,0.0
65592,27796,31.0,-2.0
65592,19348,42.0,-1.0
65592,5077,53.0,-2.0
65592,40310,13.0,0.0
65592,44799,9.0,-2.0
49211,27104,7.0,-5.0
49211,28993,59.0,-6.0
49211,8193,25.0,-3.0
49211,46979,33.0,-2.0
49211,10957,47.0,0.0
49211,27796,45.0,-2.0
49211,1940,25.0,-2.0
49211,5782,25.0,-1.0
49211,4920,37.0,0.0
49211,16953,354.0,-7.0
49211,39993,32.0,-3.0
49211,27323,55.0,-5.0
49211,41787,5.0,0.0
73788,30233,3.0,-1.0
73788,6187,4.0,-3.0
73791,42356,6.0,0.0
73791,19348,2.0,0.5
114753,21333,10.0,0.0
114753,16759,12.0,0.0
114753,13176,17.0,0.0
114753,19677,4.0,0.0
155719,21137,9.0,0.0
155719,22963,4.0,0.0
155719,35108,14.0,0.0
155719,10749,3.0,0.0
155719,45007,6.0,0.0
106567,42240,86.0,-1.0
106567,31683,86.0,-3.0
106567,24852,123.0,-2.0
106567,9076,44.0,-1.0
106567,1940,30.0,-1.0
106567,25146,43.0,0.0
106582,46802,15.0,0.0
90201,31683,26.0,0.0
90201,47766,7.0,0.0
90201,46654,7.0,0.0
155744,28465,21.0,-8.0
155744,22035,9.0,-4.0
155744,30489,9.0,-1.0
139367,41290,29.0,0.0
188523,10673,134.0,0.0
188523,28993,93.0,-1.0
188523,4210,178.0,0.0
188523,24852,2339.0,-2.0
188523,27796,24.0,0.0
188523,23909,455.0,0.0
188523,5077,247.0,-1.0
188523,6187,45.0,0.0
188523,44987,10.0,-1.0
188523,43772,78.0,-1.0
188523,31981,41.0,0.0
180339,27344,17.0,0.0
180339,5077,20.0,0.0
180339,32650,14.0,0.0
180339,36316,6.0,0.0
172155,33198,12.0,-2.0
172155,44142,5.0,-2.0
155783,1463,20.0,-1.5
155783,14233,4.0,-1.0
155783,25146,11.0,0.0
155783,33198,20.0,0.0
24711,7751,19.0,0.0
163973,4210,50.0,0.0
163973,49683,7.0,0.0
163973,23734,69.0,0.0
163973,24184,15.0,0.0
163973,16797,58.0,0.0
188549,24852,2013.0,0.0
188549,196,83.0,0.0
65676,32864,10.0,0.0
65676,17794,8.0,-1.0
65676,49235,49.0,-2.0
65676,33000,6.0,0.0
24723,46676,159.0,0.0
24723,23909,45.0,0.0
24723,5077,24.0,-1.0
24723,28427,8.0,0.0
131217,10957,9.0,-1.0
131217,40174,11.0,-1.0
155793,35921,129.0,0.0
155793,14233,5.0,0.0
155793,44142,9.0,0.0
32919,47977,7.0,0.0
32919,16797,37.0,0.0
163995,5077,9.0,0.0
204954,21137,41.0,-1.0
204954,38689,13.0,1.0
204954,8193,5.0,0.0
204954,4920,21.0,0.0
204954,25146,52.0,-3.0
204954,45066,3.0,-1.0
204954,27323,168.0,-3.0
158,24852,18.0,0.0
106662,46667,5.0,0.0
114854,28199,11.0,-2.0
24749,33000,103.0,0.0
24749,30233,13.0,-1.0
24749,25146,18.0,0.0
24749,44987,10.0,0.0
24749,16797,54.0,0.0
204981,24852,25.0,-3.0
204981,21333,108.0,-2.0
204981,30233,5.0,0.0
204981,38444,48.0,-1.0
187,24852,21.0,0.0
187,2966,12.0,-2.0
187,21288,3.0,0.0
187,27325,12.0,-1.0
187,46654,6.0,0.0
114878,5782,8.0,0.0
164043,890,4.0,0.0
106698,33120,9.0,0.0
106698,13176,7.0,0.0
106698,47209,21.0,0.0
172246,432,55.0,-1.0
172246,45603,5.0,0.0
172246,24852,171.0,-3.0
172246,40199,23.0,0.0
172246,23288,234.0,0.0
172246,25466,4.0,0.0
172246,651,7.0,0.0
172246,33198,52.0,-2.0
65748,2966,144.0,-1.0
90341,18465,21.0,-3.0
90341,26369,11.0,-2.5
90341,49235,48.0,0.0
90341,12916,6.0,0.0
90341,5077,19.0,0.0
90341,2086,169.0,-1.0
90341,24489,60.0,0.0
90341,17948,51.0,0.0
90341,27086,46.0,-2.0
90341,27966,47.0,0.0
90341,41950,4.0,0.0
229,42265,27.0,-5.0
229,11182,6.0,-1.0
229,21903,18.0,0.0
123111,20995,12.0,0.0
123111,38293,6.0,0.0
123111,33198,526.0,0.0
147694,16797,13.0,0.0
147694,40174,3.0,0.0
237,17600,7.0,0.5
237,5025,5.0,-1.0
237,34358,6.0,-1.0
237,16185,28.0,0.0
237,47626,15.0,0.0
237,28842,9.0,0.0
237,21709,25.0,-1.0
65774,7751,11.0,0.0
164090,14992,35.0,-2.0
164090,38689,5.0,0.0
164090,25890,13.0,0.0
164090,49683,24.0,-2.5
164090,24852,52.0,-2.5
164090,35108,35.0,0.0
164090,37158,66.0,0.0
164090,40199,23.0,0.0
164090,41290,120.0,0.0
164090,19660,70.0,0.0
250,33731,13.0,0.0
250,14947,5.0,0.0
250,41844,9.0,0.0
8444,33120,7.0,0.0
98559,9076,24.0,0.5
98559,43352,22.0,0.5
155906,46802,7.0,0.0
155906,49235,16.0,0.0
155906,7781,203.0,0.0
155906,47144,33.0,-3.0
155906,25146,9.0,-1.0
8451,27796,98.0,0.0
8451,23909,94.0,0.0
8451,23734,9.0,0.0
180487,40332,5.0,0.0
180492,28993,16.0,-5.0
180492,35042,7.0,-1.0
180492,31683,19.0,0.0
180492,49235,12.0,-1.0
180492,42356,8.0,0.0
180492,27796,6.0,0.0
180492,23909,69.0,-3.0
180492,23734,7.0,0.0
180492,32650,4.0,0.0
57619,44632,9.0,0.0
65810,44142,5.0,0.0
57624,23734,20.0,-1.0
57624,7751,22.0,0.0
57624,20955,12.0,0.0
57624,39581,14.0,0.0
65821,15424,13.0,0.0
65821,40332,16.0,0.0
82207,22825,27.0,1.0
82207,47209,13.0,-1.0
82207,30489,7.0,0.0
82207,17948,33.0,0.0
82207,4799,36.0,0.0
172328,15424,781.0,-6.5
172328,9076,464.0,-3.0
172328,196,235.0,0.0
172328,41844,150.0,-4.0
172328,23909,2029.0,-9.0
172328,23734,383.0,-5.0
172328,5782,152.0,-3.0
172328,37067,49.0,-5.0
172328,27323,97.0,-3.0
172328,41276,398.0,-8.0
172328,10957,778.0,0.0
24875,22035,100.0,0.0
24875,42356,8.0,0.0
24875,13176,40.0,0.0
24875,33000,18.0,0.0
98605,43772,18.0,0.0
172339,16696,6.0,0.0
147764,32650,8.0,0.0
155966,32691,24.0,0.0
155966,37158,22.0,0.0
131395,31343,10.0,0.0
123202,14947,317.0,0.0
123202,31717,9.0,0.0
123202,25466,2.0,0.5
123202,10957,65.0,0.0
147782,42450,14.0,0.0
147782,37646,5.0,0.0
164172,32689,9.0,0.0
164172,46979,7.0,-1.0
164172,41220,4.0,-4.0
164172,7751,24.0,-1.0
164172,16953,69.0,-1.0
164172,16185,21.0,-1.0
164172,6046,43.0,-5.0
164172,27086,7.0,0.0
164172,29487,11.0,0.0
147789,40706,54.0,0.0
147789,20995,4.0,0.0
147789,24838,21.0,0.0
147789,44359,19.0,-1.0
147789,48679,4.0,-1.0
147789,47209,95.0,-6.0
147789,46667,12.0,-1.0
147789,37067,7.0,-1.5
147789,42828,36.0,0.0
147789,19660,2.0,0.5
147789,8174,14.0,0.0
147789,21903,10.0,0.0
147789,27344,32.0,0.0
147789,42450,91.0,0.0
147789,22963,30.0,0.0
147789,24852,71.0,0.0
147789,42356,14.0,0.0
147789,9076,30.0,0.0
147789,8277,19.0,0.0
147789,30391,5.0,-1.0
147789,13176,2.0,0.5
147789,35898,9.0,-1.0
147789,40604,13.0,0.5
147789,27966,88.0,-7.0
90449,23734,31.0,0.0
90449,651,13.0,0.0
90449,7948,21.0,0.0
98644,14233,267.0,0.0
98644,19660,829.0,0.0
131418,21137,6.0,0.0
131418,40709,7.0,0.0
49507,11777,3.0,0.0
49507,39275,7.0,-2.0
205152,24852,12.0,0.0
205152,37158,20.0,-1.0
205152,28199,23.0,0.0
74094,23734,23.0,0.0
74094,7751,22.0,0.0
74094,41290,13.0,-1.0
74094,35914,5.0,0.0
33137,19488,16.0,-6.0
33137,10673,30.0,-1.0
33137,42356,33.0,-2.0
33137,41844,8.0,0.0
33137,23909,122.0,-2.0
33137,47141,81.0,-5.0
33137,5782,91.0,-2.0
33137,25466,19.0,-0.5
33137,35898,19.0,0.0
33137,20955,33.0,-2.0
33137,40332,129.0,-16.0
33137,43631,140.0,-11.0
172411,5025,9.0,0.0
172411,31683,29.0,0.0
172411,27796,21.0,0.0
172411,16696,46.0,0.0
172411,4605,7.0,0.0
49533,31683,30.0,-2.0
49533,41844,7.0,0.0
49533,28199,34.0,-2.0
49533,16953,25.0,-1.0
49533,25146,542.0,0.0
49533,41290,62.0,0.0
382,21137,13.0,0.0
382,42450,13.0,-3.0
382,10132,17.0,-1.0
382,33198,24.0,-3.0
172423,9076,9.0,0.0
16775,47141,9.0,0.0
49543,14947,17.0,0.0
49543,5785,3.0,0.0
82315,39108,4.0,0.0
82315,26348,6.0,-1.0
106901,19488,9.0,0.0
139682,49520,28.0,0.0
24993,49235,11.0,0.0
24993,20995,4.0,0.0
24993,27845,28.0,0.0
90531,15424,184.0,-1.0
90531,32864,40.0,-1.0
90531,26209,29.0,-1.0
90531,31683,17.0,0.0
90531,7751,150.0,-2.0
90531,33129,13.0,0.0
90531,41290,687.0,-4.0
90531,28842,21.0,-2.0
90531,39275,60.0,-3.0
90531,40332,252.0,-2.0
90531,21903,157.0,-4.0
90531,29487,9.0,-1.0
90531,49520,9.0,0.0
90531,49683,23.0,-1.0
90531,38739,4.0,0.0
90531,9076,66.0,0.0
90531,23734,73.0,0.0
90531,44632,802.0,-3.0
90531,43352,145.0,-9.0
90531,25146,3.0,0.0
90531,16797,21.0,0.0
90531,27966,20.0,-3.0
41391,18465,10.0,0.0
41391,33731,7.0,0.0
41391,49235,6.0,0.0
41391,14947,5.0,-1.0
41391,39877,29.0,-2.0
41391,21709,11.0,0.0
180653,27796,48.0,0.0
180653,10957,57.0,-2.0
180653,43631,27.0,-1.0
74161,47144,7.0,0.0
74161,39581,13.0,0.0
8627,39928,10.0,-1.0
8627,18523,6.0,0.0
82356,24489,5.0,-1.0
82356,1194,42.0,-7.0
82356,21386,23.0,-2.0
82356,651,12.0,-5.0
82356,21195,9.0,-1.0
82356,33198,100.0,-1.0
82356,35951,30.0,0.0
82356,46802,6.0,0.0
82356,22963,70.0,-6.5
82356,24852,239.0,-10.0
82356,13176,397.0,-12.0
82356,30489,84.0,0.0
82356,27966,27.0,-3.0
90548,42240,8.0,-3.0
90548,32691,13.0,0.0
90548,24852,101.0,0.0
90548,21333,16.0,0.0
90548,4920,13.0,0.0
90548,23288,5.0,-1.0
90548,21019,32.0,0.0
90548,39581,6.0,0.0
90548,48205,5.0,0.0
90548,37710,4.0,1.0
205236,31066,7.0,0.0
98753,10673,87.0,-1.0
98753,35042,12.0,0.0
98753,35221,71.0,0.0
98753,31066,27.0,0.0
16840,14233,5.0,0.0
460,37158,16.0,0.0
57806,40310,25.0,-3.0
57806,28199,28.0,0.0
57806,32650,37.0,0.0
57806,20955,16.0,-2.0
57806,16797,81.0,0.0
123345,42240,16.0,0.0
123345,10673,13.0,0.0
123345,31683,40.0,0.5
123345,19348,9.0,0.0
123345,24852,15.0,0.0
123345,5077,15.0,0.0
123345,16696,104.0,0.0
123345,16185,62.0,0.0
123345,36011,41.0,0.0
123345,41276,2.0,-0.5
25042,24852,81.0,-1.0
25042,16953,25.0,0.0
25042,5450,22.0,-1.0
147920,9076,88.0,0.0
147920,27796,70.0,0.0
147920,40310,108.0,-1.0
147920,28199,218.0,-4.0
147920,16953,284.0,0.0
147920,33129,27.0,0.0
147920,16797,69.0,0.0
147920,40174,12.0,0.0
164305,22963,2.0,-3.5
164305,14233,5.0,-2.0
180694,21137,10.0,0.0
98772,44632,736.0,0.0
98772,47144,6.0,0.0
131543,47141,24.0,0.0
197076,31506,14.0,0.0
197076,24852,53.0,0.0
197076,5077,4.0,0.0
197076,46088,8.0,0.0
197076,16953,28.0,0.0
197076,47977,34.0,-4.0
197076,16185,10.0,0.0
197076,25146,27.0,0.0
197076,39581,13.0,0.0
131546,5025,12.0,0.0
131546,196,12.0,0.0
131546,41290,15.0,0.0
57818,49235,19.0,0.0
57818,26165,36.0,-1.0
205278,24852,2089.0,-1.0
205278,196,25.0,-1.0
205278,7751,215.0,-2.0
57822,34050,210.0,-9.0
57822,24852,2135.0,-9.0
57822,9076,61.0,-1.0
57822,47766,54.0,-3.0
57822,43352,82.0,-2.0
57822,47626,77.0,-1.0
57822,27966,32.0,-1.0
188907,19348,5.0,0.0
147948,40199,4.0,0.0
156140,24852,94.0,-2.0
156140,24838,4.0,-1.0
156140,13176,13.0,0.0
156140,40604,9.0,-1.0
156140,35951,58.0,0.0
188930,19488,15.0,0.0
188930,24852,9.0,0.0
188930,35221,25.0,-1.0
188930,35914,37.0,0.0
188930,45066,11.0,0.0
188930,651,18.0,0.0
188930,8859,6.0,0.0
82437,26209,29.0,0.5
82437,35921,27.0,0.0
82437,32691,36.0,0.0
82437,28199,44.0,-3.0
82437,16696,67.0,-3.0
82437,4920,28.0,0.0
82437,41290,102.0,-8.0
82437,47626,70.0,-0.5
82437,39275,42.0,-1.0
82437,33198,13.0,0.0
74250,47141,4.0,0.0
147986,27796,9.0,0.0
147986,31981,17.0,0.0
33301,21709,5.0,0.0
164376,32691,35.0,-1.0
164376,9076,57.0,-3.0
164376,13176,29.0,0.0
164376,6184,14.0,0.0
164376,42265,11.0,0.0
164376,39275,238.0,0.0
164376,39581,9.0,-2.0
164376,35951,15.0,0.0
180765,42736,9.0,0.0
156206,47672,19.0,0.0
123436,8174,8.0,0.0
107057,40706,52.0,-4.0
107057,39877,89.0,-10.5
107057,27845,4.0,0.0
107057,2086,44.0,-1.0
107057,24489,28.0,0.0
107057,6187,130.0,-7.0
107057,9387,35.0,-1.0
107057,42828,79.0,-6.0
107057,21709,156.0,-8.0
107057,27344,107.0,-2.5
107057,42736,44.0,0.5
107057,31506,15.0,-2.0
107057,49235,273.0,-4.0
107057,22035,94.0,-8.0
107057,24852,2605.0,-14.0
107057,9076,281.0,-12.0
107057,16185,10.0,0.0
107057,17948,10.0,0.0
90674,14992,8.0,0.0
74296,49235,8.0,-2.0
74296,46149,15.0,-1.5
148025,5077,87.0,0.0
148025,23909,51.0,0.0
90687,2078,7.0,0.0
33344,28993,14.0,0.0
107073,19348,9.0,0.0
107073,29487,5.0,0.0
205386,49520,25.0,-1.0
205386,4210,3.0,0.0
205386,24852,238.0,0.0
205386,5077,75.0,-1.0
205386,16696,20.0,0.0
205386,47977,99.0,-6.0
205386,43295,19.0,-3.0
82515,4210,982.0,0.0
82515,31683,112.0,-1.0
82515,24852,335.0,0.0
82515,33198,80.0,-1.0
74325,24838,6.0,-1.0
98900,26604,116.0,0.0
90713,39408,11.0,0.0
90713,1940,5.0,0.0
90713,28199,49.0,0.0
90713,13176,147.0,0.0
90713,35914,3.0,-1.0
90713,16797,130.0,0.0
90713,29487,34.0,0.0
16991,19348,563.0,-1.0
16991,44632,8.0,0.0
16991,20955,59.0,0.0
16995,10957,10.0,0.0
115305,43772,10.0,0.0
148072,33129,12.0,0.0
66157,44142,5.0,0.0
637,40332,12.0,0.0
82558,17600,2.0,0.5
82558,46802,6.0,0.0
82558,49683,8.0,-0.5
82558,24852,8.0,-0.5
82558,35108,4.0,0.0
82558,46906,3.0,-1.0
164486,17600,96.0,-1.0
164486,26209,17.0,0.0
164486,5479,45.0,0.0
164486,47209,21.0,-1.0
164486,35914,235.0,0.5
164486,42828,176.0,1.0
164486,27086,728.0,0.0
164486,27344,309.0,0.0
164486,19057,52.0,0.0
164486,42450,720.0,0.5
164486,22035,279.0,0.5
164486,10132,43.0,0.0
164486,13176,498.0,0.5
41607,37158,9.0,0.0
41607,4799,17.0,0.0
123531,11520,8.0,0.0
123531,33731,20.0,0.0
123531,27845,50.0,-2.5
123531,46906,24.0,-2.0
123531,16797,13.0,-4.5
123531,43789,4.0,0.0
123531,4799,10.0,0.0
172685,24852,18.0,0.0
74395,8193,79.0,0.5
74395,34050,2.0,0.5
74395,49683,20.0,0.0
74395,33731,20.0,-1.0
74395,27845,5.0,-2.0
74395,40604,17.0,0.0
82589,24852,167.0,-1.0
82589,23288,248.0,-4.0
82589,13176,141.0,-3.0
82589,19677,9.0,0.5
82589,23375,5.0,0.0
90783,42450,35.0,0.0
90783,47672,84.0,0.0
90783,39275,21.0,0.0
90783,41950,3.0,0.0
33440,16953,23.0,0.0
33440,47626,16.0,0.0
58016,36316,21.0,0.0
139941,27344,7.0,0.0
139941,46842,191.0,-1.0
139941,28204,18.0,0.0
205476,49235,8.0,-2.0
205476,47144,18.0,0.0
66216,10032,18.0,0.0
66216,26165,6.0,0.0
66216,28199,4.0,0.0
197289,46842,5.0,0.0
33456,28204,5.0,0.0
41651,49235,14.0,-5.0
41651,24852,3.0,-3.0
41651,39108,2.0,0.5
41651,40396,9.0,0.0
41651,46654,9.0,0.0
58049,5077,7.0,0.0
58049,30233,5.0,0.0
58049,890,7.0,0.5
82624,26620,8.0,-1.0
58058,40709,7.0,-2.0
58058,41950,2.0,0.5
197326,24838,6.0,0.0
197326,27325,6.0,1.0
139980,21137,6.0,0.0
139980,49235,37.0,0.0
139980,10132,5.0,0.0
139980,2086,5.0,0.0
139980,14233,27.0,0.0
139980,42701,7.0,-2.0
139980,33198,11.0,-1.0
189136,26620,10.0,0.0
33492,23909,11.0,-2.0
33492,23734,23.0,0.0
33492,23288,239.0,0.0
123605,42240,7.0,0.0
123605,196,5.0,0.0
123605,32650,13.0,0.0
123605,27966,16.0,0.0
99028,41844,188.0,-1.0
99028,44987,11.0,-1.0
139989,28427,5.0,0.0
139989,41276,6.0,0.0
49886,27796,81.0,0.0
58078,21137,42.0,0.0
58078,9076,17.0,0.0
58078,27845,656.0,0.0
140003,10673,17.0,0.0
140003,12916,13.0,0.0
140003,36316,34.0,0.0
140003,16797,41.0,0.0
140003,39581,24.0,0.0
8932,49520,14.0,0.0
8932,41844,13.0,0.0
148196,26209,217.0,-9.0
148196,28993,13.0,-2.0
148196,35042,58.0,-2.0
148196,31683,490.0,-9.5
148196,7751,115.0,0.0
148196,46088,36.0,-2.5
148196,47626,283.0,-21.0
